Output file needed for ML task
columns representation is as follows: -
1. Experiment Number
2. Trial Number
3. User Judgement of the GUI Yes (Congruent), No (Not Congruent)
4. skew of the time spend in each trial
5. Kurtosis of the time spend in each trial
6. Mean of the time spend in each trial
7. Variance of the time spend in each trial
8. Standard Deviation of the time spend in each trial
9. Block number on which maximum amount of time is spend (1 - 6 Labels and 7 - 12 pictures)
10. Total time spend in one trial
11. Total gaze distance
12. Total gaze distance in X - axis
13. Total gaze distance in Y - axis
14. Mean of the total Transition 
15. Variance of the total transition
16. Block number on which maximum transition are made (1 - 6 Labels and 7 - 12 pictures)
17. Skew of the total transition in a trial
18. Kurtosis of the total transition in a trial
19. Standard Deviation of the total transition in a trial
20. Trial Type C (Correct) = 1, W (Wrong) = 2, S (Shuffle) = 3, P (one Permutation) = 4

*****************************************************************
exp,trial,userjudgement,time_skew,time_kurtosis,time_mean,time_variance,t_sd,time_maxblock,timefortrial,gazedistall,gazedistX,gazedistY,trans_mean,trans_var,trans_maxblock,trans_skew,trans_kurtosis,trans_sd,correctlabel
1,35,No,0.505651004808,-0.896084408682,26.1666666667,589.242424242,24.2743161437,11,314,824669.836397,4795.0,820034.0,68722.4863664,75481.43662587412,11,8.30746116545,67.0139772318,274.738851686,4
1,36,No,1.08205273768,-0.2329189477,25.0833333333,1215.35606061,34.8619572114,12,301,946378.191053,6713.0,940270.0,78864.8492544,99312.80880924631,11,8.30746524932,67.0140613123,315.13934824,2
1,37,Yes,0.763397610751,-0.922672931024,23.25,805.113636364,28.3745244253,9,279,708657.0,2877.0,705780.0,59054.75,52482.45979020979,11,8.30402202419,66.9760133681,229.090505675,1
1,38,No,1.48211698729,0.970066797696,13.5,515.545454545,22.7056260549,4,162,4241.16926955,3836.0,690.0,353.430772463,0.040209790209790215,2,4.58731710926,19.0434782609,0.200523789636,2
1,39,No,2.09058443814,3.37049073494,14.25,779.840909091,27.9256317581,9,171,5769.39070706,5754.0,172.5,480.782558921,0.06818181818181818,3,6.61041865708,44.1143984221,0.261116483934,2
1,40,Yes,0.363415808053,0.32571471384,20.1666666667,117.424242424,10.8362466945,12,242,438678.139516,5754.0,433456.5,36556.5116263,21015.38806332556,11,8.30733490259,67.01261296,144.966851602,1
2,1,Yes,0.0513647680416,-0.68997434304,19.6666666667,200.787878788,14.1699639657,3,236,13858.9421242,5754.0,8729.0,1154.91184368,5.97027972027972,11,7.90160539046,62.1460904759,2.44341558485,1
2,2,Yes,0.595045701293,0.299501575346,16.75,171.840909091,13.1088103614,12,201,24452.4421242,4795.0,20281.5,2037.70351035,41.058226495726494,11,8.24431813768,66.3025950056,6.40766934975,1
2,3,No,1.14276375117,-0.20136119701,27.5,1335.90909091,36.5500901628,11,330,103328.336397,4795.0,98692.5,8610.69469971,1080.9199689199688,11,8.30684805829,67.0091380435,32.8773473522,4
2,4,No,1.13950167038,-0.153921282114,20.3333333333,1037.87878788,32.2161262085,10,244,66464.4089667,6713.0,60195.0,5538.70074722,400.80419580419584,11,8.30433681637,66.9807904001,20.0200948001,2
2,5,No,0.905054129912,-0.871496146776,29.5833333333,1781.17424242,42.2039600325,12,355,180997.790604,7672.0,174117.5,15083.149217,3364.675942113442,11,8.30668090517,67.0060200248,58.0058267945,4
2,6,Yes,0.51426947768,-0.360198229114,22.0,410.0,20.2484567313,12,264,67871.5,5754.0,62117.5,5655.95833333,424.5442404817404,11,8.30079096631,66.9412416488,20.6044713711,1
2,7,Yes,0.878853039509,-0.604252613711,15.5,365.909090909,19.128750375,12,186,75609.7814141,5754.0,70170.0,6300.81511784,548.7037684537685,11,8.30269674032,66.9621286205,23.4244267476,1
2,8,No,0.420822079801,-1.14715996306,16.4166666667,192.992424242,13.8921713293,9,197,104237.109593,7672.0,97109.0,8686.4257994,1038.748203185703,11,8.30671432683,67.0062888248,32.2296168638,4
