Experiment_Number,Trial_Number,User_Judgement,skew,Kurtosis,Mean,Variance,SD,Max_time_Index,total_time,Total_distance,Total_distance_X,Total_distance_Y,Correct_output
2,8,FALSE,1.274510588,0.529447607,29.91666667,1705.901515,41.30256064,2,359,6099,5754,345,2
2,9,FALSE,2.185314601,3.271614811,29.91666667,5462.265152,73.9071387,10,359,3836,3836,0,2
2,10,TRUE,0.091396366,-0.873905318,29.75,543.2954545,23.30869912,10,357,3642.059977,2877,1207,3
2,11,FALSE,1.535371293,1.036541224,34.16666667,3035.606061,55.09633437,12,410,177870,4795,173075,2
2,12,TRUE,0.075131888,-1.703150609,35.41666667,1029.174242,32.08074567,12,425,184494.5183,3836,180945,1
2,13,FALSE,0.715724323,-0.618988319,29,1180.181818,34.35377444,2,348,5941.890707,5754,345,2
2,14,FALSE,0.174789746,0.13752688,32.16666667,273.6060606,16.5410417,10,386,133786.3364,5754,128191.5,3
2,15,FALSE,1.262846891,0.350526468,39.5,3316.090909,57.58550954,12,474,597183.5,3836,593347.5,4
2,16,TRUE,0.907111876,-0.108339858,34.16666667,1587.424242,39.84249292,10,410,272569.3364,3836,268892.5,1
2,17,FALSE,2.747185338,5.996920407,29.75,5817.659091,76.27358056,10,357,3866.781414,3836,345,2
2,18,TRUE,0.575356776,-1.275995937,33.25,1550.568182,39.37725463,10,399,227051.3364,6713,220497.5,1
2,19,TRUE,0.464237612,-0.779298477,32.83333333,143.969697,11.99873731,8,394,232540.5,5754,226786.5,1
2,20,FALSE,-0.214274079,-0.234399151,34.25,286.5681818,16.92832484,10,411,341826.5,4795,337031.5,3
2,21,FALSE,1.182837285,-0.425892863,41.91666667,5046.628788,71.03962829,5,503,850526.5092,5754,845250,3
2,22,FALSE,0.66803581,-1.020876921,36.25,1887.113636,43.44092122,12,435,482208.3364,4795,477572.5,3
2,23,FALSE,0.698152609,-0.73974839,39.41666667,1800.992424,42.43810109,11,473,801144.3364,3836,797467.5,4
